,AC-mean,AC-10_moving_average,AC-se,AC-upper,AC-lower,DTA-mean,DTA-10_moving_average,DTA-se,DTA-upper,DTA-lower,SRS-mean,SRS-10_moving_average,SRS-se,SRS-upper,SRS-lower,NRS-mean,NRS-10_moving,NRS-se,NRS-upper,NRS-lower,SARSA-RS-mean,SARSA-RS-se,SARSA-RS-10_moving,SARSA-RS-upper,SARSA-RS-lower,SPRS-mean,SPRS-se,SPRS-10_moving,SPRS-upper,SPRS-lower
28,4668.04,4827.787,416.019364,5243.806364,4411.767636,3472.26,3263.355,388.3036638,3651.658664,2875.051336,3159.884,3106.021,113.0722304,3219.09323,2992.94877,5466.264706,4990.653922,412.4829732,5403.136895,4578.170948,4712.62,444.5765866,4479.987,4924.563587,4035.410413,4528.492,260.32660238966,4443.8792,4704.20580238966,4183.55259761034
29,5445.15,4864.571,428.1315703,5292.70257,4436.43943,3483.28,3203.595,385.6882617,3589.283262,2817.906738,3192.258,3093.5823,115.5439255,3209.126225,2978.038375,5173.098039,4926.835294,416.1337655,5342.96906,4510.701529,4713.47,407.8181547,4379.36,4787.178155,3971.541845,4255.152,256.297009774956,4402.4884,4658.78540977496,4146.19139022504
30,4696.48,4813.782,422.7182484,5236.500248,4391.063752,3400.08,3103.649,392.6362685,3496.285269,2711.012732,3177.45,3073.5913,113.4784908,3187.069791,2960.112809,4594.147059,4863.148039,405.5893151,5268.737354,4457.558724,4587.11,421.4341877,4282.323,4703.757188,3860.888812,4458.056,263.20029432251,4409.0012,4672.20149432251,4145.80090567749
31,4954.71,4814.55,419.5355521,5234.085552,4395.014448,3410.64,3073.468,384.1718369,3457.639837,2689.296163,3162.391,3063.5837,116.0012624,3179.584962,2947.582438,5053.529412,4892.417647,404.532836,5296.950483,4487.884811,4559.31,411.9671841,4180.215,4592.182184,3768.247816,4632.208,263.286443287428,4386.1148,4649.40124328743,4122.82835671257
32,4842.73,4774.776,403.0424158,5177.818416,4371.733584,3203.89,3014.754,358.2393501,3372.99335,2656.51465,3083.894,3061.264,113.0779732,3174.341973,2948.186027,5107.990196,4830.998039,403.7170581,5234.715097,4427.280981,4559.63,421.132746,4160.262,4581.394746,3739.129254,4737.696,265.657222778406,4363.1684,4628.82562277841,4097.51117722159
33,4670.26,4755.73,427.3458388,5183.075839,4328.384161,2816.34,2970.145,364.8327634,3334.977763,2605.312237,3063.517,3066.5677,113.3374176,3179.905118,2953.230282,4935.578431,4764.356863,402.9106912,5167.267554,4361.446172,4634.12,415.2677929,4125.566,4540.833793,3710.298207,4366.516,266.871147108443,4341.9452,4608.81634710844,4075.07405289156
34,4969.38,4736.801,417.2812413,5154.082241,4319.519759,3135.62,2962.356,377.65046,3340.00646,2584.70554,3036.586,3050.9875,114.1854857,3165.172986,2936.802014,4927.656863,4765.344118,417.2040752,5182.548193,4348.140042,4130.92,409.8675871,4046.506,4456.373587,3636.638413,4400.604,264.226008645508,4368.2152,4632.44120864551,4103.98919135449
35,4858.9,4689.791,425.2232408,5115.014241,4264.567759,3361.73,2900.569,371.6341865,3272.203187,2528.934814,3113.797,3048.6266,112.4815242,3161.108124,2936.145076,5177.22549,4715.939216,413.7064062,5129.645622,4302.232809,4193.12,398.1913523,4036.708,4434.899352,3638.516648,4452.252,262.073444091506,4367.3696,4629.44304409151,4105.29615590849
36,4642.03,4636.294,421.026272,5057.320272,4215.267728,3104.71,2862.813,367.4441991,3230.257199,2495.368801,3020.948,3047.1903,110.1674108,3157.357711,2937.022889,4742.941176,4678.683333,399.8165895,5078.499923,4278.866744,4384.74,407.4406164,4057.492,4464.932616,3650.051384,4259.128,267.150698981799,4343.8348,4610.9854989818,4076.6841010182
37,4530.19,4657.772,439.5813542,5097.353354,4218.190646,3245,2836.294,369.6957725,3205.989773,2466.598228,3049.485,3050.1383,110.59831,3160.73661,2939.53999,4728.107843,4651.544118,396.8249531,5048.369071,4254.719165,4324.83,400.6428342,4006.227,4406.869834,3605.584166,4348.688,263.770831007949,4340.0264,4603.79723100795,4076.25556899205
