,AC-mean,AC-10_moving_average,AC-se,AC-upper,AC-lower,HRS-mean,HRS-10_moving_average,HRS-se,HRS-upper,HRS-lower,RRS-mean,RRS-10_moving_average,RRS-se,RRS-upper,RRS-lower,NRS-mean,NRS-10_moving,NRS-se,NRS-upper,NRS-lower,SARSA-RS-mean,SARSA-RS-se,SARSA-RS-10_moving,SARSA-RS-upper,SARSA-RS-lower
69,4617.47,4520.769,433.7323279,4954.501328,4087.036672,3025.469,3030.3837,111.842146559511,3142.22584655951,2918.54155344049,3266.97487437186,3081.47869346734,118.090945091977,3199.56963855931,2963.38774837536,3940.607843,3873.911765,387.3647107,4261.276475,3486.547054,3363.07,369.582540782164,3618.487,3988.06954078216,3248.90445921784
70,4382.93,4531.884,423.9187128,4955.802713,4107.965287,3060.621,3025.0564,113.356424632038,3138.41282463204,2911.69997536796,3107.68040201005,3071.63788944724,114.913143223307,3186.55103267054,2956.72474622393,3610.519608,3855.282353,386.7714713,4242.053824,3468.510882,3434.59,385.412670807538,3620.69,4006.10267080754,3235.27732919246
71,4216.08,4502.265,411.8273594,4914.092359,4090.437641,3043.016,3004.8535,114.266918781177,3119.12041878118,2890.58658121882,3068.80301507538,3070.1567839196,115.179846763521,3185.33663068312,2954.97693715608,3890.078431,3838.537255,396.5206313,4235.057886,3442.016624,3854.72,380.401030513851,3692.166,4072.56703051385,3311.76496948615
72,4692.75,4515.782,432.531079,4948.313079,4083.250921,3039.741,3008.8881,113.884367899721,3122.77246789972,2895.00373210028,3088.3959798995,3076.98924623116,114.038764891444,3191.0280111226,2962.95048133971,3431.088235,3811.619608,385.2197726,4196.83938,3426.399835,3607.3,357.256460403447,3680.962,4038.21846040345,3323.70553959655
73,4662.36,4458.753,415.3181406,4874.071141,4043.434859,3119.237,3011.9554,116.028600072702,3127.9840000727,2895.9267999273,3032.73969849246,3081.71256281407,112.678899471388,3194.39146228546,2969.03366334268,4020.656863,3795.865686,399.8954497,4195.761136,3395.970237,3615.68,378.999171999096,3725.935,4104.9341719991,3346.9358280009
74,4074.57,4460.992,402.516273,4863.508273,4058.475727,3136.219,2992.849,115.978420661083,3108.82742066108,2876.87057933892,2989.79899497487,3084.66291457286,112.906115342994,3197.56902991586,2971.75679922987,3969.794118,3745.219608,398.1275922,4143.3472,3347.092016,3511.69,377.989467497442,3754.296,4132.28546749744,3376.30653250256
75,4477.61,4474.754,423.6663649,4898.420365,4051.087635,2899.806,2977.0737,110.877805490387,3087.95150549039,2866.19589450961,3068.86231155779,3104.4127638191,115.289969408324,3219.70273322742,2989.12279441077,4354.352941,3698.288235,396.7675479,4095.055783,3301.520687,3550.91,393.475853921178,3789.101,4182.57685392118,3395.62514607882
76,4934.56,4472.767,434.4172958,4907.184296,4038.349704,2919.519,2974.6124,112.08929343001,3086.70169343001,2862.52310656999,3081.47035175879,3116.60100502513,115.270787831458,3231.87179285658,3001.33021719367,3904.931373,3641.289216,395.9316094,4037.220825,3245.357606,3603.08,385.349366855585,3786.689,4172.03836685558,3401.33963314442
77,4617.84,4391.7,435.0872753,4826.787275,3956.612725,3043.909,2983.6416,112.158327326681,3095.79992732668,2871.48327267332,3075.54874371859,3123.14603015075,115.330680514416,3238.47671066517,3007.81534963634,3903.068627,3582.393137,401.1557772,3983.548914,3181.23736,3963.9,406.50873336252,3809.778,4216.28673336252,3403.26926663748
78,4531.52,4348.571,423.0656362,4771.636636,3925.505364,3016.3,2984.6542,112.85428225814,3097.50848225814,2871.79991774186,3034.51256281407,3143.15708542714,114.30579030046,3257.4628757276,3028.85129512668,3714.019608,3582.426471,378.7026232,3961.129094,3203.723847,3679.93,406.478599499408,3765.319,4171.79759949941,3358.84040050059
79,4728.62,4328.55,425.5712008,4754.121201,3902.978799,2972.196,2981.3243,111.931316884883,3093.25561688488,2869.39298311512,3168.56683417085,3152.79346733668,117.638006058793,3270.43147339548,3035.15546127789,3754.313725,3598.697059,384.9376141,3983.634673,3213.759445,3385.1,392.560940364678,3775.433,4167.99394036468,3382.87205963532
