DDPG-mean,DDPG-mv,Ddpg-se,DDPG-lower,DDPG-upper,HRS-mean,HRS-mv,HRS-se,HRS-lower,HRS-upper,NRS-mean,NRS-mv,NRS-se,NRS-lower,NRS-upper,RRS-mean,RRS-mv,RRS-se,RRS-lower,RRS-upper
0.34,0.298,0.10807404868885,0.18992595131115,0.40607404868885,0.21,0.301,0.043474130238568,0.257525869761432,0.344474130238568,0.12,0.172,0.071554175279993,0.100445824720007,0.243554175279993,0.166666666666667,0.216666666666667,0.054433105395182,0.162233561271485,0.271099772061848
0.26,0.296,0.07266360849834,0.22333639150166,0.36866360849834,0.23,0.317,0.047010637094173,0.269989362905827,0.364010637094173,0.18,0.182,0.086717933554715,0.095282066445285,0.268717933554715,0.2,0.22,0.081649658092773,0.138350341907227,0.301649658092773
0.32,0.3,0.103537432844358,0.196462567155642,0.403537432844358,0.29,0.335,0.0573585215988,0.2776414784012,0.3923585215988,0.16,0.184,0.066932802122726,0.117067197877274,0.250932802122726,0.133333333333333,0.226666666666667,0.07200822998231,0.154658436684357,0.298674896648976
0.24,0.3,0.07266360849834,0.22733639150166,0.37266360849834,0.29,0.349,0.0573585215988,0.2916414784012,0.4063585215988,0.16,0.19,0.066932802122726,0.123067197877274,0.256932802122726,0.233333333333333,0.24,0.027216552697591,0.212783447302409,0.267216552697591
0.3,0.308,0.084852813742386,0.223147186257614,0.392852813742386,0.3,0.363,0.064807406984079,0.298192593015921,0.427807406984079,0.14,0.198,0.077974354758472,0.120025645241528,0.275974354758472,0.166666666666667,0.24,0.027216552697591,0.212783447302409,0.267216552697591
0.3,0.314,0.089442719099992,0.224557280900008,0.403442719099991,0.31,0.376,0.053758720222863,0.322241279777138,0.429758720222863,0.14,0.206,0.066932802122726,0.139067197877274,0.272932802122726,0.266666666666667,0.243333333333333,0.027216552697591,0.216116780635742,0.270549886030924
0.28,0.324,0.076941536246685,0.247058463753315,0.400941536246685,0.32,0.388,0.059665735560705,0.328334264439295,0.447665735560705,0.14,0.21,0.066932802122726,0.143067197877274,0.276932802122726,0.233333333333333,0.246666666666667,0.054433105395182,0.192233561271485,0.301099772061848
0.32,0.33,0.103537432844358,0.226462567155642,0.433537432844358,0.37,0.401,0.051088159097779,0.349911840902221,0.452088159097779,0.24,0.224,0.092086915465771,0.131913084534229,0.316086915465771,0.233333333333333,0.256666666666667,0.027216552697591,0.229450113969076,0.283883219364258
0.32,0.33,0.114542568506211,0.215457431493789,0.444542568506211,0.34,0.409,0.055136195008361,0.353863804991639,0.464136195008361,0.22,0.224,0.091214034007931,0.132785965992069,0.315214034007931,0.266666666666667,0.266666666666667,0.027216552697591,0.239450113969076,0.293883219364258
0.3,0.336,0.074833147735479,0.261166852264521,0.410833147735479,0.35,0.42,0.057008771254957,0.362991228745043,0.477008771254957,0.22,0.224,0.091214034007931,0.132785965992069,0.315214034007931,0.266666666666667,0.27,0.027216552697591,0.242783447302409,0.297216552697591
