DDPG-mean,DDPG-mv,Ddpg-se,DDPG-lower,DDPG-upper,HRS-mean,HRS-mv,HRS-se,HRS-lower,HRS-upper,NRS-mean,NRS-mv,NRS-se,NRS-lower,NRS-upper,RRS-mean,RRS-mv,RRS-se,RRS-lower,RRS-upper
0.14,0.21,0.045607017003966,0.164392982996035,0.255607017003966,0.1,0.14,0.056568542494924,0.083431457505076,0.196568542494924,0.06,0.094,0.035777087639997,0.058222912360003,0.129777087639997,0.06,0.092,0.03577708764,0.05622291236,0.12777708764
0.18,0.222,0.043817804600413,0.178182195399587,0.265817804600413,0.06,0.14,0.035777087639997,0.104222912360003,0.175777087639997,0.06,0.106,0.035777087639997,0.070222912360003,0.141777087639997,0.04,0.096,0.0219089023,0.0740910977,0.1179089023
0.2,0.236,0.063245553203368,0.172754446796632,0.299245553203368,0.14,0.154,0.077974354758472,0.076025645241528,0.231974354758472,0.08,0.116,0.052153619241621,0.063846380758379,0.168153619241621,0.14,0.102,0.0219089023,0.0800910977,0.1239089023
0.16,0.24,0.045607017003966,0.194392982996035,0.285607017003966,0.12,0.156,0.071554175279993,0.084445824720007,0.227554175279993,0.08,0.124,0.052153619241621,0.071846380758379,0.176153619241621,0.1,0.1,0.02828427125,0.07171572875,0.12828427125
0.2,0.254,0.048989794855664,0.205010205144336,0.302989794855664,0.12,0.164,0.06572670690062,0.09827329309938,0.22972670690062,0.08,0.13,0.043817804600413,0.086182195399587,0.173817804600413,0.08,0.102,0.03346640106,0.06853359894,0.13546640106
0.16,0.264,0.045607017003966,0.218392982996035,0.309607017003966,0.14,0.174,0.077974354758472,0.096025645241528,0.251974354758472,0.1,0.136,0.056568542494924,0.079431457505076,0.192568542494924,0.08,0.112,0.03346640106,0.07853359894,0.14546640106
0.22,0.276,0.06572670690062,0.21027329309938,0.34172670690062,0.16,0.184,0.087635609200827,0.096364390799174,0.271635609200827,0.12,0.14,0.06572670690062,0.07427329309938,0.20572670690062,0.12,0.118,0.0438178046,0.0741821954,0.1618178046
0.22,0.286,0.052153619241621,0.233846380758379,0.338153619241621,0.16,0.19,0.092086915465771,0.097913084534229,0.282086915465771,0.12,0.152,0.052153619241621,0.099846380758379,0.204153619241621,0.08,0.124,0.03346640106,0.09053359894,0.15746640106
0.28,0.296,0.076941536246685,0.219058463753315,0.372941536246685,0.2,0.194,0.109544511501033,0.084455488498967,0.303544511501033,0.12,0.162,0.071554175279993,0.090445824720007,0.233554175279993,0.12,0.132,0.03346640106,0.09853359894,0.16546640106
0.34,0.298,0.10807404868885,0.18992595131115,0.40607404868885,0.2,0.198,0.113137084989848,0.084862915010152,0.311137084989848,0.12,0.172,0.071554175279993,0.100445824720007,0.243554175279993,0.1,0.138,0.02828427125,0.10971572875,0.16628427125
0.26,0.296,0.07266360849834,0.22333639150166,0.36866360849834,0.1,0.2,0.056568542494924,0.143431457505076,0.256568542494924,0.18,0.182,0.086717933554715,0.095282066445285,0.268717933554715,0.1,0.144,0.02828427125,0.11571572875,0.17228427125
0.32,0.3,0.103537432844358,0.196462567155642,0.403537432844358,0.2,0.21,0.113137084989848,0.096862915010152,0.323137084989848,0.16,0.184,0.066932802122726,0.117067197877274,0.250932802122726,0.1,0.15,0.04,0.11,0.19
0.24,0.3,0.07266360849834,0.22733639150166,0.37266360849834,0.16,0.212,0.087635609200827,0.124364390799173,0.299635609200827,0.16,0.19,0.066932802122726,0.123067197877274,0.256932802122726,0.12,0.164,0.0438178046,0.1201821954,0.2078178046
0.3,0.308,0.084852813742386,0.223147186257614,0.392852813742386,0.2,0.218,0.109544511501033,0.108455488498967,0.327544511501033,0.14,0.198,0.077974354758472,0.120025645241528,0.275974354758472,0.12,0.17,0.03346640106,0.13653359894,0.20346640106
0.3,0.314,0.089442719099992,0.224557280900008,0.403442719099991,0.22,0.222,0.121326007104825,0.100673992895175,0.343326007104825,0.14,0.206,0.066932802122726,0.139067197877274,0.272932802122726,0.18,0.182,0.01788854382,0.16411145618,0.19988854382
0.28,0.324,0.076941536246685,0.247058463753315,0.400941536246685,0.24,0.224,0.115238882327103,0.108761117672897,0.339238882327104,0.14,0.21,0.066932802122726,0.143067197877274,0.276932802122726,0.14,0.184,0.03577708764,0.14822291236,0.21977708764
0.32,0.33,0.103537432844358,0.226462567155642,0.433537432844358,0.22,0.222,0.121326007104825,0.100673992895175,0.343326007104825,0.24,0.224,0.092086915465771,0.131913084534229,0.316086915465771,0.18,0.19,0.03346640106,0.15653359894,0.22346640106
0.32,0.33,0.114542568506211,0.215457431493789,0.444542568506211,0.2,0.232,0.093808315196469,0.138191684803531,0.325808315196469,0.22,0.224,0.091214034007931,0.132785965992069,0.315214034007931,0.16,0.196,0.045607017,0.150392983,0.241607017
