HRS-mean,HRS-se,HRS-upper,HRS-lower,RRS-mean,RRS-se,RRS-upper,RRS-lower,SARSA-mean,SARSA-se,SARSA-upper,SARSA-lower,NRS-mean,NRS-se,NRS-upper,NRS-lower,SARSA-RS-mean,SARSA-RS-se,SARSA-RS-upper,SARSA-RS-lower,HRS-init-mean,HRS-init-se,HRS-init-upper,HRS-init-lower,RRS-init-mean,RRS-init-se,RRS-init-upper,RRS-init-lower
442.572600000002,2.73403986992234,445.306639869924,439.838560130079,485.903599999998,2.82762496399324,488.731224963991,483.075975036005,586.269999999999,32.0183055438447,618.288305543844,554.251694456154,796.164,9.39912680458598,805.563126804586,786.764873195414,132.714,3.11087314684089,135.824873146841,129.603126853159,321.784,7.97478994197459,329.758789941974,313.809210058025,334.393,8.45006012209776,342.843060122098,325.942939877903
425.0772,2.67375295408943,427.750952954089,422.40344704591,462.504700000001,3.00405434904961,465.508754349051,459.500645650952,662.159999999999,31.9947840446002,694.154784044599,630.165215955399,810.157,9.21125580931198,819.368255809312,800.945744190688,123.144,3.19248637165975,126.33648637166,119.95151362834,307.094,7.79279621425048,314.886796214251,299.30120378575,309.708,8.23217391843876,317.940173918439,301.475826081561
442.991599999998,2.74892602526396,445.740526025262,440.242673974734,455.3688,3.05677444140957,458.425574441409,452.31202555859,597.11,31.9993020599392,629.109302059939,565.110697940061,801.252000000001,9.00615852555266,810.258158525554,792.245841474448,86.8480000000001,1.6423971396603,88.4903971396604,85.2056028603398,292.069,7.7368982048902,299.80589820489,284.332101795109,295.005,8.18362515610873,303.188625156109,286.821374843891
410.269999999998,2.57226204792678,412.842262047925,407.697737952072,438.247600000001,2.99608724227121,441.243687242272,435.25151275773,591.659999999999,30.7595110362945,622.419511036294,560.900488963705,798.785999999999,8.95991083695631,807.745910836955,789.826089163043,95.1880000000002,2.67493026225131,97.8629302622515,92.5130697377489,291.954,8.05266995333704,300.006669953337,283.901330046663,277.02,7.61786239226119,284.637862392262,269.402137607739
414.0664,2.80525233502626,416.871652335027,411.261147664974,404.455599999998,2.84966724780393,407.305267247802,401.605932752195,572.59,29.9283794746691,602.518379474669,542.661620525331,793.624999999999,9.42284460104148,803.04784460104,784.202155398958,76.407,1.33169244037644,77.7386924403764,75.0753075596236,262.100999999999,7.18447823620664,269.285478236206,254.916521763793,254.859,7.50976948759127,262.368769487591,247.349230512409
372.547999999999,2.79255796136747,375.340557961366,369.755442038631,403.6596,2.94460228571638,406.604202285716,400.714997714284,570.009999999999,30.1895610261145,600.199561026114,539.820438973885,788.023999999999,9.4206721887819,797.444672188781,778.603327811217,75.536,2.21818101854448,77.7541810185445,73.3178189814555,254.383,7.0855643058639,261.468564305864,247.297435694136,242.247,6.96111421412564,249.208114214126,235.285885785875
361.855399999999,2.4598580079399,364.315258007939,359.395541992059,397.934299999999,2.89770152116494,400.832001521164,395.036598478834,600.679999999999,30.9636766015741,631.643676601573,569.716323398425,770.341999999999,9.55440608890541,779.896406088904,760.787593911094,72.5899999999999,2.32108279157063,74.9110827915706,70.2689172084293,246.374,7.06852616789286,253.442526167893,239.305473832107,239.988,7.47308081000016,247.46108081,232.51491919
374.272599999999,2.53569197701619,376.808291977016,371.736908022983,342.269899999998,2.67666913927874,344.946569139277,339.59323086072,590.619999999999,31.0224121654919,621.642412165491,559.597587834507,744.125999999999,10.0551700417531,754.181170041752,734.070829958246,67.3960000000001,1.93167558211895,69.327675582119,65.4643244178811,234.875,6.89695057995214,241.771950579952,227.978049420048,216.152,7.11707887463022,223.26907887463,209.03492112537
356.222599999999,2.27520131835139,358.497801318351,353.947398681648,341.892499999997,2.55020985242476,344.442709852422,339.342290147573,539.609999999999,28.9220369478383,568.532036947837,510.687963052161,724.431,10.2055210498483,734.636521049848,714.225478950152,70.8549999999998,2.27617902766148,73.1311790276613,68.5788209723384,215.176,6.41821318471773,221.594213184718,208.757786815282,213.944,6.96791623950235,220.911916239503,206.976083760498
337.896599999998,2.44002952548789,340.336629525486,335.456570474511,333.036999999999,2.44549412333187,335.482494123331,330.591505876667,578.17,30.7988687152858,608.968868715286,547.371131284714,755.656,10.1927096001501,765.84870960015,745.46329039985,57.349,1.58280525380461,58.9318052538046,55.7661947461954,205.151999999999,6.35502598352293,211.507025983522,198.796974016476,201.819,6.59266816338517,208.411668163385,195.226331836615
314.112200000001,2.32716475796129,316.439364757962,311.78503524204,332.4652,2.5208279386435,334.986027938644,329.944372061357,524.009999999999,30.395100266359,554.405100266358,493.61489973364,709.074000000001,10.4677594791106,719.541759479112,698.60624052089,63.3149999999999,1.9637907855088,65.2787907855087,61.3512092144911,189.371,6.01415991460806,195.385159914608,183.356840085392,196.903,6.64259901790804,203.545599017908,190.260400982092
258.698399999999,1.98179588637114,260.68019588637,256.716604113628,306.3895,2.52131037351115,308.910810373511,303.868189626489,527.06,29.4514934882233,556.511493488223,497.608506511777,691.685999999998,10.6308407089082,702.316840708906,681.05515929109,55.3150000000001,1.96504329982068,57.2800432998208,53.3499567001794,179.908,5.88532093759878,185.793320937599,174.022679062401,180.023,6.23291149116178,186.255911491162,173.790088508838
261.4858,1.98451292991326,263.470312929913,259.501287070087,287.892099999999,2.26086717385097,290.15296717385,285.631232826148,493.04,30.1521191107471,523.192119110747,462.887880889253,709.8,10.3722722694706,720.172272269471,699.427727730529,61.9910000000001,2.20425126576864,64.1952512657687,59.7867487342314,180.627,5.81784110698685,186.444841106987,174.809158893013,175.91,5.86078516094071,181.77078516094,170.049214839059
287.9802,2.10086808378503,290.081068083785,285.879331916215,276.919399999999,2.24432551784875,279.163725517848,274.675074482151,450.189999999999,30.2501947401695,480.440194740169,419.93980525983,687.894999999999,10.8631615220088,698.758161522008,677.03183847799,53.4519999999999,2.00145735091396,55.4534573509138,51.4505426490859,173.242,6.13423216386862,179.376232163869,167.107767836131,165.257,5.68102728580156,170.938027285802,159.575972714199
267.705199999999,1.96389263370575,269.669092633705,265.741307366294,268.084899999998,2.2559868166394,270.340886816638,265.828913183359,482.729999999999,28.9273903092037,511.657390309203,453.802609690795,686.271,10.6557337720694,696.926733772069,675.615266227931,62.987,2.96412193572563,65.9511219357256,60.0228780642743,166.065,5.74355144123897,171.808551441239,160.321448558761,158.815,5.6994549354795,164.514454935479,153.11554506452
227.0406,1.81711700409871,228.857717004099,225.223482995901,262.371,2.24878235009656,264.619782350097,260.122217649904,469.139999999999,31.0656912969529,500.205691296952,438.074308703046,668.698999999997,10.9038275781882,679.602827578185,657.795172421809,55.112,2.46508054190488,57.5770805419049,52.6469194580951,145.496,5.12544887889931,150.621448878899,140.370551121101,149.877,5.39804712685836,155.275047126858,144.478952873142
224.255400000001,1.88110811859907,226.1365081186,222.374291881402,255.287799999999,2.19539104291221,257.483191042911,253.092408957087,447.479999999999,31.3316230352052,478.811623035204,416.148376964794,662.046000000001,11.1355471484023,673.181547148403,650.910452851599,51.8099999999999,2.72254442537641,54.5325444253763,49.0874555746235,151.546,5.64891796348276,157.194917963483,145.897082036517,143.764,5.25142397429096,149.015423974291,138.512576025709
227.091400000001,1.78242963680056,228.873829636801,225.3089703632,244.903000000001,2.04082713051292,246.943827130514,242.862172869488,426.27,28.9196024358998,455.1896024359,397.3503975641,663.027000000001,11.1856857562169,674.212685756218,651.841314243784,50.095,2.21674263795392,52.3117426379539,47.878257362046,144.34,4.98126383454936,149.321263834549,139.358736165451,140.718,5.10749243317647,145.825492433177,135.610507566824
233.6426,1.90665096394537,235.549250963946,231.735949036055,229.054100000001,1.94827825428878,231.00237825429,227.105821745712,431.289999999999,30.4594756283747,461.749475628374,400.830524371624,643.278999999998,11.0464560538822,654.32545605388,632.232543946116,51.005,2.60898443360147,53.6139844336015,48.3960155663985,142.094,5.46025929746891,147.554259297469,136.633740702531,131.945,4.74025062111181,136.685250621112,127.204749378888
201.233,1.33274527652407,202.565745276524,199.900254723476,225.659200000001,2.02808593476505,227.687285934766,223.631114065236,405.05,27.5699674657153,432.619967465715,377.480032534285,599.848999999999,11.1251419308691,610.974141930868,588.72385806913,29.292,0.443011280889094,29.7350112808891,28.8489887191109,135.3,5.14260307299391,140.442603072994,130.157396927006,131.17,4.75250475027659,135.922504750276,126.417495249723
213.778200000001,1.72235061170452,215.500550611705,212.055849388296,231.4166,2.20645202247788,233.623052022478,229.210147977523,422.119999999999,29.6044232294344,451.724423229433,392.515576770565,621.655,11.0043565845004,632.6593565845,610.6506434155,43.171,1.87717008460249,45.0481700846025,41.2938299153975,128.09,4.89274000993358,132.982740009934,123.197259990066,125.076,4.59287913652894,129.668879136529,120.483120863471
170.049199999999,1.34413172975967,171.393331729759,168.70506827024,196.433399999999,1.65664289544017,198.090042895439,194.776757104558,381.409999999999,26.9960644157513,408.40606441575,354.413935584248,610.619999999999,11.0129923999611,621.63299239996,599.607007600038,36.764,1.36221067457348,38.1262106745734,35.4017893254265,127.539,4.53910034157771,132.078100341578,122.999899658422,122.383,4.48849026464977,126.87149026465,117.89450973535
