,AC-mean,AC-10_moving_average,AC-se,AC-upper,AC-lower,HRS-mean,HRS-10_moving_average,HRS-se,HRS-upper,HRS-lower,RRS-mean,RRS-10_moving_average,RRS-se,RRS-upper,RRS-lower,NRS-mean,NRS-10_moving,NRS-se,NRS-upper,NRS-lower,SARSA-RS-mean,SARSA-RS-se,SARSA-RS-10_moving,SARSA-RS-upper,SARSA-RS-lower
17,4721.02,5078.582,422.5812611,5501.163261,4656.000739,3386.21,3432.52,379.3653596,3811.88536,3053.15464,5041.34,5215.341,415.02904,5630.37004,4800.31196,4977.480392,5080.946078,414.0942536,5495.040332,4666.851825,4254.91,409.828863086777,4563.724,4973.55286308678,4153.89513691322
18,5103.86,5073.792,396.1345234,5469.926523,4677.657477,3329.42,3468.143,373.4950008,3841.638001,3094.647999,5132.68,5216.871,428.2359543,5645.106954,4788.635046,5010.960784,5057.355882,407.5563058,5464.912188,4649.799577,4740.44,408.472458146201,4577.629,4986.1014581462,4169.1565418538
19,4816.43,5030.21,413.2971041,5443.507104,4616.912896,3863.44,3482.427,391.6096524,3874.036652,3090.817348,4994.9,5188.489,431.5427943,5620.031794,4756.946206,5025.058824,5102.886275,416.2585267,5519.144801,4686.627748,4460.4,418.63785280359,4574.847,4993.48485280359,4156.20914719641
20,5255.07,5093.082,417.3252727,5510.407273,4675.756727,3445.81,3444.411,374.4031925,3818.814193,3070.007808,4784.27,5193.372,409.7625373,5603.134537,4783.609463,4628.509804,5117.690196,409.8656401,5527.555836,4707.824556,4908.8,421.771033618953,4600.154,5021.92503361895,4178.38296638105
21,5159.16,5037.223,412.0582885,5449.281289,4625.164712,3267.37,3439.838,387.294163,3827.132163,3052.543837,5231.64,5231.646,412.471651,5644.117651,4819.174349,4672.803922,5114.253922,424.5243445,5538.778266,4689.729577,4631.42,411.176799000138,4567.985,4979.16179900014,4156.80820099986
22,5301.99,5016.778,422.135823,5438.913823,4594.642177,3474.89,3454.165,381.6355911,3835.800591,3072.529409,5429.84,5154.889,422.6623796,5577.55138,4732.22662,4975.892157,5152.326471,409.1360037,5561.462474,4743.190467,4451.2,410.900250669186,4560.774,4971.67425066919,4149.87374933081
23,4858.03,4970.852,410.3480987,5381.200099,4560.503901,3595.56,3427.065,397.8844441,3824.949444,3029.180556,5284.89,5034.082,412.4345781,5446.516578,4621.647422,5396.882353,5165.536275,414.9297118,5580.465986,4750.606563,4562.31,402.014153157572,4571.617,4973.63115315757,4169.60284684243
24,5286.2,4952.075,412.5572275,5364.632228,4539.517773,3571.94,3349.143,381.2364492,3730.379449,2967.906551,5377.56,4932.997,432.8310787,5365.828079,4500.165921,5453.980392,5119.405882,403.6669617,5523.072844,4715.738921,4420.57,417.805047182295,4578.798,4996.6030471823,4160.99295281771
25,5164.09,4920.393,419.5891801,5339.98218,4500.80382,3266.9,3305.511,373.2672695,3678.77827,2932.243731,5548.93,4844.273,407.7622148,5252.035215,4436.510785,5431.54902,5066.773529,422.2922232,5489.065753,4644.481306,4343.95,411.267824993641,4549.833,4961.10082499364,4138.56517500636
26,5119.97,4889.874,426.2521992,5316.126199,4463.621801,3123.66,3314.994,378.5103196,3693.50432,2936.48368,5327.36,4723.211,413.7261661,5136.937166,4309.484834,5236.343137,5041.341176,430.7369876,5472.078164,4610.604189,4863.24,423.593063002689,4534.75,4958.34306300269,4111.15693699731
27,4673.12,4842.08,408.024393,5250.104393,4434.055607,3742.44,3313.099,401.5985075,3714.697508,2911.500493,5056.64,4594.28,430.1875457,5024.467546,4164.092454,4741.578431,4992.00098,412.2806593,5404.28164,4579.720321,4393.96,429.303291839231,4486.9,4916.20329183923,4057.59670816077
28,4668.04,4827.787,416.019364,5243.806364,4411.767636,3472.26,3263.355,388.3036638,3651.658664,2875.051336,4848.86,4573.981,424.4400457,4998.421046,4149.540954,5466.264706,4990.653922,412.4829732,5403.136895,4578.170948,4712.62,444.576586603478,4479.987,4924.56358660348,4035.41041339652
29,5445.15,4864.571,428.1315703,5292.70257,4436.43943,3483.28,3203.595,385.6882617,3589.283262,2817.906738,5043.73,4501.782,424.702347,4926.484347,4077.079653,5173.098039,4926.835294,416.1337655,5342.96906,4510.701529,4713.47,407.818154685394,4379.36,4787.17815468539,3971.54184531461
30,4696.48,4813.782,422.7182484,5236.500248,4391.063752,3400.08,3103.649,392.6362685,3496.285269,2711.012732,5167.01,4404.706,419.1267325,4823.832733,3985.579268,4594.147059,4863.148039,405.5893151,5268.737354,4457.558724,4587.11,421.434187719744,4282.323,4703.75718771974,3860.88881228026
31,4954.71,4814.55,419.5355521,5234.085552,4395.014448,3410.64,3073.468,384.1718369,3457.639837,2689.296163,4464.07,4298.896,416.3119696,4715.20797,3882.58403,5053.529412,4892.417647,404.532836,5296.950483,4487.884811,4559.31,411.967184055963,4180.215,4592.18218405596,3768.24781594404
32,4842.73,4774.776,403.0424158,5177.818416,4371.733584,3203.89,3014.754,358.2393501,3372.99335,2656.51465,4221.77,4301.065,400.6631353,4701.728135,3900.401865,5107.990196,4830.998039,403.7170581,5234.715097,4427.280981,4559.63,421.132745973286,4160.262,4581.39474597329,3739.12925402671
