DTA-mean,DTA-se,DTA-lower,DTA-upper,CADRL-mean,CADRL-se,CADRL-lower,CADRL-upper
19.005,1.14825002721533,17.8567499727847,20.1532500272153,19.3,1.08364258406543,18.2163574159346,20.3836425840654
18.995,1.02608631459541,17.9689136854046,20.0210863145954,19.475,1.04684794741166,18.4281520525883,20.5218479474117
18.9275,0.914735275913201,18.0127647240868,19.8422352759132,19.375,1.04403813388209,18.3309618661179,20.4190381338821
18.8225,0.954892009601086,17.8676079903989,19.7773920096011,19.26,1.06698611752918,18.1930138824708,20.3269861175292
18.995,1.01422384117117,17.9807761588288,20.0092238411712,19.405,1.04372080797501,18.361279192025,20.448720807975
19.115,0.953696754739157,18.1613032452608,20.0686967547392,19.3825,1.00867022608978,18.3738297739102,20.3911702260898
19.025,0.88935545480983,18.1356445451902,19.9143554548098,19.575,0.913432742461097,18.6615672575389,20.4884327424611
18.96,0.897978632819289,18.0620213671807,19.8579786328193,19.535,0.938877321592124,18.5961226784079,20.4738773215921
19.1275,0.977875567237468,18.1496244327625,20.1053755672375,19.47,0.961847181209156,18.5081528187908,20.4318471812092
19.0475,0.93319344189723,18.1143065581028,19.9806934418972,19.3975,0.949106487703039,18.448393512297,20.346606487703
19.2225,1.02921693534454,18.1932830646555,20.2517169353445,19.4825,1.00977720314929,18.4727227968507,20.4922772031493
19.215,0.990055238357941,18.2249447616421,20.2050552383579,19.4475,1.01488453776772,18.4326154622323,20.4623845377677
19.315,0.982895912597056,18.3321040874029,20.2978959125971,19.625,1.09600125456133,18.5289987454387,20.7210012545613
19.3375,0.872944013095914,18.4645559869041,20.2104440130959,19.5475,1.00258571952726,18.5449142804727,20.5500857195273
19.38,0.848100819478439,18.5318991805216,20.2281008194784,19.4975,0.991340632678798,18.5061593673212,20.4888406326788
19.3,0.824403193225257,18.4755968067747,20.1244031932253,19.4525,0.892349427074394,18.5601505729256,20.3448494270744
19.38,0.838223568029436,18.5417764319706,20.2182235680294,19.55,0.825918049808818,18.7240819501912,20.3759180498088
19.4575,0.802900990160057,18.6545990098399,20.2604009901601,19.5075,0.819456756028041,18.688043243972,20.326956756028
19.37,0.701400384944291,18.6685996150557,20.0714003849443,19.4225,0.728326420638439,18.6941735793616,20.1508264206384
19.3625,0.708552662121878,18.6539473378781,20.0710526621219,19.335,0.630493358410698,18.7045066415893,19.9654933584107
19.4,0.637218074916272,18.7627819250837,20.0372180749163,19.445,0.613259732902789,18.8317402670972,20.0582597329028
19.35,0.736938345453675,18.6130616545463,20.0869383454537,19.5275,0.63641328945898,18.891086710541,20.163913289459
19.4525,0.880841217246332,18.5716587827537,20.3333412172463,19.4575,0.614684878616677,18.8428151213833,20.0721848786167
19.4175,0.888543400740786,18.5289565992592,20.3060434007408,19.3475,0.612849390144104,18.7346506098559,19.9603493901441
19.475,0.921081226059895,18.5539187739401,20.3960812260599,19.245,0.637115079871761,18.6078849201282,19.8821150798718
19.4125,0.891461230228214,18.5210387697718,20.3039612302282,19.255,0.684614398767657,18.5703856012323,19.9396143987677
19.485,0.936878127079504,18.5481218729205,20.4218781270795,19.3525,0.80896732010632,18.5435326798937,20.1614673201063
19.7175,0.93880409298213,18.7786959070179,20.6563040929821,19.28,0.754244240945862,18.5257557590541,20.0342442409459
19.7225,0.913145319760223,18.8093546802398,20.6356453197602,19.3275,0.775507898090019,18.55199210191,20.10300789809
19.7425,0.802930180650846,18.9395698193492,20.5454301806508,19.3525,0.668398271990585,18.6841017280094,20.0208982719906
19.66,0.791047564941578,18.8689524350584,20.4510475649416,19.375,0.632900071101275,18.7420999288987,20.0079000711013
19.67,0.840401689669886,18.8295983103301,20.5104016896699,19.2125,0.634379618209791,18.5781203817902,19.8468796182098
19.5175,0.819552088033458,18.6979479119665,20.3370520880335,19.2225,0.620274636753753,18.6022253632462,19.8427746367538
19.58,0.894388757755821,18.6856112422442,20.4743887577558,19.2725,0.69162851300391,18.5808714869961,19.9641285130039
19.7125,0.901760431045851,18.8107395689541,20.6142604310458,19.4125,0.728901142131085,18.6835988578689,20.1414011421311
19.7075,0.881764920486181,18.8257350795138,20.5892649204862,19.4725,0.852893970549681,18.6196060294503,20.3253939705497
19.7775,0.824738594949939,18.9527614050501,20.6022385949499,19.545,0.909271686571181,18.6357283134288,20.4542716865712
19.9175,0.827341374524446,19.0901586254756,20.7448413745244,19.6475,0.948571294104982,18.698928705895,20.596071294105
19.7625,0.835987440097039,18.926512559903,20.598487440097,19.615,0.899126312038526,18.7158736879615,20.5141263120385
19.8025,0.871505522070858,18.9309944779291,20.6740055220709,19.7575,0.890642324392907,18.8668576756071,20.6481423243929
19.61,0.846457692386336,18.7635423076137,20.4564576923863,19.58,0.873217827921533,18.7067821720785,20.4532178279215
