HER-mean,HER-se,HER-mv,HER-lower,HER-upper,HRS-mean,HRS-se,HRS-mv,HRS-lower,HRS-upper,SARSA-RS-mean,SARSA-RS-se,SARSA-RS-mv,SARSA-RS-lower,SARSA-RS-upper
0.116666669,0.024720662,0.141000002,0.11627934,0.165720664,0.11333333494374,0.028828997831962,0.212666666841645,0.183837669009683,0.241495664673607,0.109999998,0.024312773,0.192666668,0.168353895,0.216979442
0.090000002,0.025055494,0.146333335,0.121277841,0.171388829,0.143333336043081,0.01801234067338,0.235666666520341,0.217654325846962,0.25367900719372,0.113333336,0.023285666,0.208000001,0.184714335,0.231285667
0.13,0.03091206,0.160333335,0.129421275,0.191245395,0.173333335398546,0.030404677100959,0.250000000525967,0.219595323425008,0.280404677626926,0.156666671,0.024765569,0.225000001,0.200234432,0.24976557
0.076666667,0.015456031,0.172000002,0.156543971,0.187456033,0.173333336831221,0.016733200608169,0.267000001038655,0.250266800430486,0.283733201646824,0.146666668,0.032795663,0.234333334,0.201537671,0.267128997
0.143333336,0.015456031,0.193666669,0.178210638,0.2091227,0.206666668993411,0.04071581773556,0.291000001355533,0.250284183619973,0.331715819091093,0.190000004,0.046571332,0.258333333,0.211762001,0.304904666
0.096666668,0.024944383,0.206666669,0.181722286,0.231611052,0.229999995312384,0.059516566550144,0.309666668762595,0.250150102212451,0.369183235312739,0.203333338,0.053831012,0.277666668,0.223835657,0.33149768
0.186666668,0.0457651,0.230000002,0.184234902,0.275765102,0.266666662546376,0.053333333158515,0.331333336831357,0.278000003672841,0.384666669989872,0.253333336,0.050640344,0.300000001,0.249359658,0.350640345
0.126666666,0.031001791,0.246000001,0.21499821,0.277001792,0.249999996546376,0.054365021214582,0.346333338176719,0.291968316962137,0.400698359391301,0.236666668,0.046043458,0.313666669,0.267623211,0.359710127
0.186666671,0.036285903,0.267333335,0.231047432,0.303619238,0.266666661801318,0.042426401620012,0.365000004322081,0.32257360270207,0.407426405942093,0.18666667,0.040661202,0.325666669,0.285005467,0.366327872
0.256666669,0.035197852,0.278666668,0.243468816,0.31386452,0.30333334,0.039271139247262,0.38466667154195,0.345395532294688,0.423937810789212,0.329999994,0.065726706,0.355000003,0.289273297,0.420726708
0.170000003,0.0359011,0.293666669,0.257765569,0.329567769,0.343333331730698,0.046809303076778,0.40266666974195,0.355857366665172,0.449475972818727,0.263333328,0.059516566,0.368333338,0.308816772,0.427849904
0.230000005,0.057106141,0.315666669,0.258560528,0.37277281,0.286666676099341,0.030331502686528,0.41633333716888,0.386001834482352,0.446664839855408,0.283333334,0.032317865,0.38766667,0.355348805,0.419984536
0.246666664,0.050387384,0.331666669,0.281279285,0.382054053,0.343333340525426,0.007601169424351,0.436000002758946,0.428398833334595,0.443601172183296,0.250000001,0.036209267,0.409000005,0.372790738,0.445209272
0.293333337,0.042360884,0.345333335,0.302972451,0.387694219,0.41333334,0.02996294259396,0.456333333906403,0.426370391312443,0.486296276500363,0.386666662,0.046998817,0.433666672,0.386667855,0.480665489
0.273333337,0.04790036,0.361333333,0.313432973,0.409233693,0.393333343064031,0.020869969945395,0.471666668306403,0.450796698361008,0.492536638251798,0.383333352,0.042946997,0.450666673,0.407719676,0.493613671
0.329999996,0.04358899,0.374666666,0.331077676,0.418255656,0.446666676,0.040110963577446,0.4849999994,0.444889035822554,0.525110962977446,0.42666667,0.025210228,0.462333338,0.43712311,0.487543566
0.346666666,0.034318768,0.386333333,0.352014565,0.420652101,0.416666676,0.038873010459987,0.4893333322,0.450460321740013,0.528206342659987,0.39000001,0.061391283,0.469333337,0.407942054,0.53072462
0.34,0.062271809,0.396666667,0.334394858,0.458938476,0.436666658,0.018499246302966,0.4983333298,0.479834083497034,0.516832576102966,0.356666674,0.044870188,0.48466667,0.439796482,0.529536858
